Symbol,PredictedRank,Returns,Month
BCH,1,0.0,2022-01
BTC,1,0.0,2022-01
XLM,1,0.0,2022-01
ATOM,1,0.0,2022-01
CHZ,1,0.0,2022-01
COMP,1,0.0,2022-01
CRV,1,0.0,2022-01
QNT,1,0.0,2022-01
PERP,1,0.0,2022-01
SIS,1,0.0,2022-01
BOBA,-1,0.0,2022-01
AAVE,-1,0.0,2022-01
XEC,-1,0.0,2022-01
XEM,-1,0.0,2022-01
PTU,-1,0.0,2022-01
PSP,-1,0.0,2022-01
AVAX,-1,0.0,2022-01
ZIL,-1,0.0,2022-01
BAT,-1,0.0,2022-01
YFI,-1,0.0,2022-01
GALA,1,0.2954918236492865,2022-02
WEMIX,1,-0.08865212917786858,2022-02
QNT,1,0.19834710743801653,2022-02
PSP,1,-0.2348348348348348,2022-02
DYDX,1,-0.0037206155927617113,2022-02
XLM,1,-0.009223982354120586,2022-02
PLT,1,0.006826611948544059,2022-02
LUNC,1,0.751151189562548,2022-02
DGB,1,0.012009237875288736,2022-02
ALGO,1,-0.08599369085173503,2022-02
DOT,-1,-0.020647292623754865,2022-02
ANKR,-1,-0.09700087840381477,2022-02
RUNE,-1,-0.033920085345747086,2022-02
WAVES,-1,0.7936333699231615,2022-02
STETH,-1,0.09243090240596663,2022-02
BCH,-1,0.185483870967742,2022-02
BICO,-1,-0.37615526802218113,2022-02
SAND,-1,-0.21506175132324268,2022-02
CRV,-1,-0.2572386467540385,2022-02
BOBA,-1,-0.17863870400602788,2022-02
ENJ,1,0.1451555237754738,2022-03
YFI,1,0.029765926898153605,2022-03
REN,1,0.4105173635719348,2022-03
NEXO,1,0.11050471126037875,2022-03
BNT,1,0.10009404260538912,2022-03
ZEN,1,0.28099482771795126,2022-03
HBAR,1,0.025062983233428815,2022-03
AXS,1,0.16694245265673824,2022-03
FTT,1,0.06340336079593656,2022-03
BTC,1,0.05407733889968003,2022-03
MKR,-1,0.06625891946992857,2022-03
1INCH,-1,0.18225978174075053,2022-03
PERP,-1,0.07446808510638281,2022-03
SLP,-1,-0.027549540840986042,2022-03
LRC,-1,0.4124711876743903,2022-03
COMP,-1,0.23490488006617039,2022-03
EOS,-1,0.23963214363915042,2022-03
RVN,-1,0.1108977436389822,2022-03
ICP,-1,0.042162698412698374,2022-03
FTM,-1,-0.196897066582844,2022-03
LINK,1,-0.3526284701712935,2022-04
ZRX,1,-0.027903371657408638,2022-04
BTC,1,-0.17329931266562382,2022-04
REN,1,-0.444046949111665,2022-04
ATOM,1,-0.38331146371778846,2022-04
XYM,1,-0.3831375259156876,2022-04
PLT,1,-0.2514466070489215,2022-04
SNX,1,-0.35751798402400814,2022-04
FTT,1,-0.2222542820308182,2022-04
FIL,1,-0.41782502044153724,2022-04
BNT,-1,-0.2608065415350307,2022-04
1SOL,-1,-0.4749521988527725,2022-04
QTUM,-1,-0.3594634299063171,2022-04
PSP,-1,-0.46585998271391527,2022-04
XEM,-1,-0.2559397987655365,2022-04
LRC,-1,-0.41501331272008923,2022-04
BTG,-1,-0.33675563702762557,2022-04
NEXO,-1,-0.02327046666946697,2022-04
ETH,-1,-0.16915686740671654,2022-04
LDO,-1,-0.1924760868958978,2022-04
GALA,1,-0.36975364963503643,2022-05
USDC,1,0.0009001800360071144,2022-05
C98,1,-0.3795456586154261,2022-05
ONE,1,-0.37994084431298736,2022-05
CRV,1,-0.3086543271635819,2022-05
PSP,1,-0.40291262135922323,2022-05
PERP,1,-0.552483870967742,2022-05
TEL,1,-0.4645,2022-05
HBAR,1,-0.3269312544294827,2022-05
SPELL,1,-0.5601328903654486,2022-05
AVAX,-1,-0.5357965801638261,2022-05
1SOL,-1,0.0721048798252002,2022-05
LINK,-1,-0.30839416058394165,2022-05
TRVL,-1,-0.3064729194187583,2022-05
WEMIX,-1,0.7675237030596613,2022-05
BICO,-1,-0.14741035856573703,2022-05
FTT,-1,-0.23816176876869777,2022-05
CEL,-1,-0.5879978338994732,2022-05
QTUM,-1,-0.22068278377260586,2022-05
DYDX,-1,-0.4115774240231549,2022-05
GENE,1,-0.3263207473114059,2022-06
XEM,1,-0.2784905660377358,2022-06
ETH,1,-0.4482353728814432,2022-06
HOT,1,-0.2897669706180346,2022-06
ATOM,1,-0.26648447493894634,2022-06
QNT,1,-0.24788732394366197,2022-06
ONE,1,-0.6055941023417173,2022-06
WAVES,1,-0.4377777777777778,2022-06
FTT,1,-0.15117857327876494,2022-06
UMA,1,-0.24518749810531426,2022-06
GALA,-1,-0.3441910966340934,2022-06
ANKR,-1,-0.2955070603337612,2022-06
LDO,-1,-0.573806146572104,2022-06
MKR,-1,-0.3097338403041825,2022-06
STETH,-1,-0.4573125698972379,2022-06
IZI,-1,-0.3342284855502723,2022-06
CEL,-1,-0.25140399091886734,2022-06
AXS,-1,-0.3906315349226265,2022-06
MX,-1,-0.1912082484410692,2022-06
AVA,-1,-0.2836334745762711,2022-06
LUNC,1,-0.13387011148469297,2022-07
XDC,1,0.2521079258010117,2022-07
DYDX,1,0.8324798829553766,2022-07
HBAR,1,0.1901782921488897,2022-07
FIL,1,0.8111111111111109,2022-07
RUNE,1,0.3784613755493196,2022-07
REAL,1,-0.34378862793572307,2022-07
WEMIX,1,-0.13995779106577555,2022-07
COMP,1,0.19747899159663862,2022-07
XRP,1,0.14113752633162813,2022-07
BCH,-1,0.3517441860465116,2022-07
ADA,-1,0.12173913043478257,2022-07
KSM,-1,0.340956340956341,2022-07
PLT,-1,-0.09979655798097542,2022-07
SPELL,-1,0.14515161402363952,2022-07
GALA,-1,0.05187637969094938,2022-07
CRV,-1,0.9170305676855892,2022-07
ANKR,-1,0.10386297376093312,2022-07
LINK,-1,0.21815286624203822,2022-07
BOBA,-1,0.5146666666666666,2022-07
LINK,1,-0.13333333333333341,2022-08
ZEN,1,-0.1773184115599732,2022-08
CRV,1,-0.13135914958238426,2022-08
IZI,1,-0.11348146336990728,2022-08
NEXO,1,0.5174598704590256,2022-08
